source_file,table,rows_in,rows_out,rejected,timestamp,runtime_s,note
companies.xlsx,companies,92,92,0,2026-09-11T07:32:14Z,0.169,
profitandloss.xlsx,profitandloss,1276,1070,206,2026-09-11T07:32:14Z,0.176,
balancesheet.xlsx,balancesheet,1312,1140,172,2026-09-11T07:32:14Z,0.258,
cashflow.xlsx,cashflow,1187,1056,131,2026-09-11T07:32:14Z,0.113,
analysis.xlsx,analysis,20,4,16,2026-09-11T07:32:14Z,0.008,
documents.xlsx,documents,1585,1456,129,2026-09-11T07:32:15Z,0.079,
prosandcons.xlsx,prosandcons,16,14,2,2026-09-11T07:32:15Z,0.007,
sectors.xlsx,sectors,92,92,0,2026-09-11T07:32:15Z,0.014,
stock_prices.xlsx,stock_prices,5520,5520,0,2026-09-11T07:32:15Z,0.421,
market_cap.xlsx,market_cap,552,552,0,2026-09-11T07:32:15Z,0.046,
financial_ratios.xlsx,financial_ratios,1184,0,0,2026-09-11T07:32:15Z,0.152,reference-only: repopulated by Ratio Engine in Sprint 2
peer_groups.xlsx,peer_groups,56,0,0,2026-09-11T07:32:15Z,0.008,reference-only: consumed by Peer Engine in Sprint 3
