company_id,year,previous_pattern,current_pattern
ABB,2014-03,Reinvestor,Pre-Revenue
ABB,2015-03,Pre-Revenue,Growth Funded by Debt
ABB,2016-03,Growth Funded by Debt,Shareholder Returns
ABB,2018-03,Shareholder Returns,Mixed
ABB,2021-03,Mixed,Shareholder Returns
ABB,2023-03,Shareholder Returns,Mixed
ABB,2024-03,Mixed,Shareholder Returns
ADANIENSOL,2015-03,Pre-Revenue,Growth Funded by Debt
ADANIENSOL,2016-03,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,2018-03,Shareholder Returns,Mixed
ADANIENSOL,2021-03,Mixed,Shareholder Returns
ADANIENSOL,2023-03,Shareholder Returns,Mixed
ADANIENSOL,2024-03,Mixed,Shareholder Returns
ADANIENT,2014-03,Mixed,Shareholder Returns
ADANIENT,2015-03,Shareholder Returns,Mixed
ADANIENT,2016-03,Mixed,Shareholder Returns
ADANIENT,2017-03,Shareholder Returns,Mixed
ADANIENT,2019-03,Mixed,Liquidating Assets
ADANIENT,2020-03,Liquidating Assets,Shareholder Returns
ADANIENT,2021-03,Shareholder Returns,Mixed
ADANIENT,2023-03,Mixed,Shareholder Returns
ADANIENT,2024-03,Shareholder Returns,Mixed
ADANIGREEN,2023-03,Mixed,Reinvestor
ADANIGREEN,2024-03,Reinvestor,Mixed
ADANIPORTS,2015-03,Mixed,Reinvestor
ADANIPORTS,2016-03,Reinvestor,Mixed
ADANIPORTS,2017-03,Mixed,Reinvestor
ADANIPORTS,2018-03,Reinvestor,Shareholder Returns
ADANIPORTS,2019-03,Shareholder Returns,Mixed
ADANIPORTS,2020-03,Mixed,Shareholder Returns
ADANIPORTS,2021-03,Shareholder Returns,Mixed
ADANIPORTS,2022-03,Mixed,Shareholder Returns
ADANIPOWER,2015-03,Mixed,Reinvestor
ADANIPOWER,2022-03,Reinvestor,Liquidating Assets
AMBUJACEM,2023-03,Shareholder Returns,Mixed
APOLLOHOSP,2014-03,Mixed,Shareholder Returns
APOLLOHOSP,2015-03,Shareholder Returns,Mixed
APOLLOHOSP,2018-03,Mixed,Shareholder Returns
ASIANPAINT,2015-03,Shareholder Returns,Reinvestor
ASIANPAINT,2016-03,Reinvestor,Shareholder Returns
ASIANPAINT,2017-03,Shareholder Returns,Reinvestor
ASIANPAINT,2020-03,Reinvestor,Shareholder Returns
ASIANPAINT,2022-03,Shareholder Returns,Reinvestor
AXISBANK,2015-03,Mixed,Growth Funded by Debt
AXISBANK,2016-03,Growth Funded by Debt,Distress Signal
AXISBANK,2017-03,Distress Signal,Shareholder Returns
AXISBANK,2018-03,Shareholder Returns,Growth Funded by Debt
AXISBANK,2019-03,Growth Funded by Debt,Mixed
AXISBANK,2024-03,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2020-03,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2021-03,Liquidating Assets,Reinvestor
BAJAJ-AUTO,2022-03,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2024-03,Liquidating Assets,Reinvestor
BAJAJFINSV,2016-03,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2017-03,Growth Funded by Debt,Distress Signal
BAJAJFINSV,2018-03,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2021-03,Growth Funded by Debt,Mixed
BAJAJFINSV,2022-03,Mixed,Distress Signal
BAJAJFINSV,2023-03,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,2016-03,Reinvestor,Liquidating Assets
BAJAJHLDNG,2017-03,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,2018-03,Pre-Revenue,Reinvestor
BAJFINANCE,2018-03,Growth Funded by Debt,Distress Signal
BAJFINANCE,2019-03,Distress Signal,Growth Funded by Debt
BAJFINANCE,2022-03,Growth Funded by Debt,Distress Signal
BAJFINANCE,2023-03,Distress Signal,Growth Funded by Debt
BANKBARODA,2014-03,Shareholder Returns,Mixed
BANKBARODA,2015-03,Mixed,Shareholder Returns
BANKBARODA,2016-03,Shareholder Returns,Pre-Revenue
BANKBARODA,2017-03,Pre-Revenue,Shareholder Returns
BANKBARODA,2018-03,Shareholder Returns,Growth Funded by Debt
BANKBARODA,2020-03,Growth Funded by Debt,Mixed
BANKBARODA,2021-03,Mixed,Pre-Revenue
BANKBARODA,2022-03,Pre-Revenue,Shareholder Returns
BANKBARODA,2023-03,Shareholder Returns,Pre-Revenue
BANKBARODA,2024-03,Pre-Revenue,Growth Funded by Debt
BEL,2015-03,Liquidating Assets,Reinvestor
BEL,2017-03,Reinvestor,Liquidating Assets
BEL,2018-03,Liquidating Assets,Pre-Revenue
BEL,2019-03,Pre-Revenue,Reinvestor
BEL,2022-03,Reinvestor,Shareholder Returns
BEL,2023-03,Shareholder Returns,Liquidating Assets
