Metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28,123.9,637.14
return_on_capital_employed_pct,3.34,7.42,13.25,23.34,43.32,148.53,694.4
net_profit_margin_pct,4.62,7.25,14.21,20.35,29.25,20.02,45.18
debt_to_equity,0.01,0.06,0.43,1.59,6.45,1.67,2.86
interest_coverage,1.61,3.18,10.1,49.08,192.29,121.73,486.52
asset_turnover,0.07,0.21,0.68,1.13,1.66,3.5,15.85
free_cash_flow_cr,-14556.0,-1315.0,1095.0,8447.0,20445.0,901.2,23254.52
revenue_cagr_5yr,6.33,8.48,11.84,17.25,21.1,13.03,7.4
pat_cagr_5yr,4.29,9.53,16.43,23.84,39.54,21.3,21.77
composite_quality_score,32.3,38.25,47.74,63.53,69.54,49.69,15.52
