source_file,table,rows_in,rows_out,rejected,timestamp,runtime_s,note
companies.xlsx,companies,92,92,0,2026-09-09T07:43:19Z,0.173,
profitandloss.xlsx,profitandloss,1276,1070,206,2026-09-09T07:43:19Z,0.16,
balancesheet.xlsx,balancesheet,1312,1140,172,2026-09-09T07:43:19Z,0.159,
cashflow.xlsx,cashflow,1187,1056,131,2026-09-09T07:43:19Z,0.083,
analysis.xlsx,analysis,20,4,16,2026-09-09T07:43:19Z,0.008,
documents.xlsx,documents,1585,1456,129,2026-09-09T07:43:20Z,0.076,
prosandcons.xlsx,prosandcons,16,14,2,2026-09-09T07:43:20Z,0.007,
sectors.xlsx,sectors,92,92,0,2026-09-09T07:43:20Z,0.013,
stock_prices.xlsx,stock_prices,5520,5520,0,2026-09-09T07:43:20Z,0.416,
market_cap.xlsx,market_cap,552,552,0,2026-09-09T07:43:20Z,0.045,
financial_ratios.xlsx,financial_ratios,1184,0,0,2026-09-09T07:43:20Z,0.154,reference-only: repopulated by Ratio Engine in Sprint 2
peer_groups.xlsx,peer_groups,56,0,0,2026-09-09T07:43:20Z,0.008,reference-only: consumed by Peer Engine in Sprint 3
