company_id,broad_sector,year,return_on_capital_employed_pct,roce_percentage,diff,benchmark
AXISBANK,Financials,2024-03,2.5207167817120824,7.06,4.539283218287917,sector_relative_median
BANKBARODA,Financials,2024-03,2.7122786903374316,6.33,3.6177213096625684,sector_relative_median
CANBK,Financials,2024-03,3.0948490094827803,6.63,3.5351509905172196,sector_relative_median
HDFCBANK,Financials,2024-03,4.801033923800871,7.67,2.868966076199129,sector_relative_median
ICICIBANK,Financials,2024-03,5.11888931768417,7.6,2.4811106823158298,sector_relative_median
INDUSINDBK,Financials,2024-03,3.4759622860212316,7.93,4.454037713978768,sector_relative_median
KOTAKBANK,Financials,2024-03,7.113136699541475,7.86,0.746863300458525,sector_relative_median
PNB,Financials,2024-03,,1.63,,sector_relative_median
SBIN,Financials,2024-03,,6.16,,sector_relative_median
BAJAJFINSV,Financials,2024-09,,21.14,,sector_relative_median
BAJAJHLDNG,Financials,2024-09,,13.1,,sector_relative_median
BAJFINANCE,Financials,2024-09,,11.9,,sector_relative_median
CHOLAFIN,Financials,2024-09,,10.4,,sector_relative_median
HDFCLIFE,Financials,2024-09,,6.61,,sector_relative_median
ICICIGI,Financials,2024-09,,22.5,,sector_relative_median
ICICIPRULI,Financials,2024-09,,8.75,,sector_relative_median
IRFC,Financials,2024-09,,5.73,,sector_relative_median
JIOFIN,Financials,2024-09,,2.16,,sector_relative_median
LICI,Financials,2024-09,,63.79,,sector_relative_median
PFC,Financials,2024-09,,9.96,,sector_relative_median
RECLTD,Financials,2024-09,,10.0,,sector_relative_median
SBILIFE,Financials,2024-09,,13.2,,sector_relative_median
SHRIRAMFIN,Financials,2024-09,,11.3,,sector_relative_median
